         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    386/6    0.000    0.000    1.140    0.190 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      162    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      444    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:179(sub)
      403    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      699    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       26    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\algorithms.py:1667(map_array)
      747    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      175    0.000    0.000    0.008    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:573(_code)
       32    0.000    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:1036(from_list)
      177    0.000    0.000    0.098    0.001 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:506(__init__)
